time,value
2014-04-15,-0.0741772476011526
2014-05-15,-0.06409346960809124
2014-06-15,-0.05740463567075052
2014-07-15,-0.051086456211618836
2014-08-15,-0.044381651460247626
2014-09-15,-0.036964586046894884
2014-10-15,-0.03375961391085951
2014-11-15,-0.0315032487768578
2014-12-15,-0.03324974367756738
2015-01-15,-0.039123661551811836
2015-02-15,-0.04677781239626674
2015-03-15,-0.05719399187995315
2015-04-15,-0.06562136562494275
2015-05-15,-0.06998465739529271
2015-06-15,-0.06665888795340913
2015-07-15,-0.060090548594591744
2015-08-15,-0.057215575618398753
2015-09-15,-0.05945494075014885
2015-10-15,-0.06766135747330912
2015-11-15,-0.07864165206764834
2015-12-15,-0.09280406909338429
2016-01-15,-0.10890708277627749
2016-02-15,-0.12177389095224717
2016-03-15,-0.1283810418593701
